Entrada,Termo Buscado,Termo Encontrado,Distância,Preço do Frete
Loteamento Mega Centro Empresarial,Loteamento Mega Centro Empresarial,Não encontrado,---,---
Loteamento Pinheiral de Santa Helena,Loteamento Pinheiral de Santa Helena,Não encontrado,---,---
Loteamento Residencial Águas de Bragança,Loteamento Residencial Águas de Bragança,Não encontrado,---,---
Loteamento Vila Romana,Loteamento Vila Romana,Não encontrado,---,---
Mãe dos Homens,Mãe dos Homens,Mãe dos Homens,12.58 km,"R$ 35,10"
Matadouro,Matadouro,Matadouro,1.72 km,"R$ 5,40"
Morro Grande da Boa Vista,Morro Grande da Boa Vista,Morro Grande da Boa Vista,14.05 km,"R$ 40,50"
Núcleo Habitacional Padre Aldo Bolini,Núcleo Habitacional Padre Aldo Bolini,Não encontrado,---,---
Núcleo Residencial Henedina Rodrigues Cortez,Núcleo Residencial Henedina Rodrigues Cortez,Não encontrado,---,---
Paineiras de Bragança,Paineiras de Bragança,Alameda das Paineiras,6.09 km,"R$ 18,90"
Parque Brasil,Parque Brasil,Parque Brasil,2.30 km,"R$ 8,10"
Parque Caetê,Parque Caetê,Não encontrado,---,---
Parque das Faculdades,Parque das Faculdades,Não encontrado,---,---
Parque dos Estados,Parque dos Estados,Parque dos Estados,6.19 km,"R$ 18,90"
Parque Imperador,Parque Imperador,Condomínio Parque Imperador,4.94 km,"R$ 13,50"
Parque Residencial Rosa do Sul,Parque Residencial Rosa do Sul,Não encontrado,---,---
Penha,Penha,Avenida Nossa Senhora da Penha,2.92 km,"R$ 8,10"
Portal São Marcelo,Portal São Marcelo,Não encontrado,---,---
Porto Bragança,Porto Bragança,Colégio Porto Bragança,2.95 km,"R$ 8,10"
Quinta do Barão,Quinta do Barão,Não encontrado,---,---
Quintas da Baronesa,Quintas da Baronesa,Não encontrado,---,---
Quintas de Bragança,Quintas de Bragança,Quintas de São Francisco,29.39 km,"R$ 81,00"
Recanto Amapola,Recanto Amapola,Não encontrado,---,---
Recanto Maranata,Recanto Maranata,Não encontrado,---,---
Residencial Alvorada,Residencial Alvorada,Não encontrado,---,---
Residencial Campos de Bragança,Residencial Campos de Bragança,Não encontrado,---,---
Residencial Colinas de São Francisco,Residencial Colinas de São Francisco,Não encontrado,---,---
Residencial das Ilhas,Residencial das Ilhas,Não encontrado,---,---
Residencial dos Ipês I,Residencial dos Ipês I,Não encontrado,---,---
Residencial dos Ipês III,Residencial dos Ipês III,Não encontrado,---,---
Residencial dos Lagos,Residencial dos Lagos,Não encontrado,---,---
Residencial Floresta São Vicente,Residencial Floresta São Vicente,Não encontrado,---,---
Residencial Hípica Jaguari,Residencial Hípica Jaguari,Residencial Hipica Jaguari,5.25 km,"R$ 16,20"
Residencial Monreale,Residencial Monreale,Não encontrado,---,---
Residencial Piemonte,Residencial Piemonte,Não encontrado,---,---
Residencial Quinta dos Vinhedos,Residencial Quinta dos Vinhedos,Não encontrado,---,---
Residencial Rotterdam,Residencial Rotterdam,Não encontrado,---,---
Residencial San Vitale,Residencial San Vitale,Não encontrado,---,---
Residencial Vale das Emas,Residencial Vale das Emas,Não encontrado,---,---
Residencial Vem Viver,Residencial Vem Viver,Não encontrado,---,---
Residencial Vino Barolo,Residencial Vino Barolo,Não encontrado,---,---
Santa Luzia,Santa Luzia,Rua Santa Luzia,24.17 km,"R$ 67,50"
Santa Rosa,Santa Rosa,Rua Santa Rosa,1.49 km,"R$ 5,40"
Serrinha,Serrinha,Serrinha,15.42 km,"R$ 43,20"
Sete Pontes,Sete Pontes,Sete Pontes,17.60 km,"R$ 48,60"
Spazio Bela Vista,Spazio Bela Vista,Não encontrado,---,---
Taboão,Taboão,Taboão,3.26 km,"R$ 10,80"
Tanque do Moinho,Tanque do Moinho,Tanque do Moinho,4.14 km,"R$ 13,50"
Toró,Toró,Toró,3.61 km,"R$ 10,80"
Torozinho,Torozinho,Não encontrado,---,---
Valado,Valado,Biriçá do Valado,16.61 km,"R$ 45,90"
Vale Encantado,Vale Encantado,Não encontrado,---,---
Vila Aparecida,Vila Aparecida,Vila Aparecida,1.48 km,"R$ 5,40"
Vila Batista,Vila Batista,Não encontrado,---,---
Vila Bernadete,Vila Bernadete,Não encontrado,---,---
Vila Bianchi,Vila Bianchi,Vila Bianchi,2.65 km,"R$ 8,10"
Vila Bocaina,Vila Bocaina,Vila Bocaina,4.88 km,"R$ 13,50"
Vila Celina,Vila Celina,Não encontrado,---,---
Vila David,Vila David,Não encontrado,---,---
Vila Davis Lang,Vila Davis Lang,Vila Davis Lang,2.90 km,"R$ 8,10"
Vila Edna,Vila Edna,Não encontrado,---,---
Vila Esperança,Vila Esperança,Não encontrado,---,---
Vila Flora,Vila Flora,Não encontrado,---,---
Vila Garcia,Vila Garcia,Não encontrado,---,---
Vila Gato,Vila Gato,Não encontrado,---,---
Vila Maria José,Vila Maria José,Não encontrado,---,---
Vila Mota,Vila Mota,Não encontrado,---,---
Vila Municipal,Vila Municipal,Não encontrado,---,---
Vila Sant' Ana,Vila Sant' Ana,Não encontrado,---,---
Vila Santa Cristina,Vila Santa Cristina,Não encontrado,---,---
Vila Santa Filomena,Vila Santa Filomena,Não encontrado,---,---
Vila Santa Libânia,Vila Santa Libânia,Vila Santa Libânia,1.54 km,"R$ 5,40"
Vila São Caetano,Vila São Caetano,Não encontrado,---,---
Vila Sônia,Vila Sônia,Não encontrado,---,---
Vila Vicchiatti,Vila Vicchiatti,Não encontrado,---,---
